Section,Section_label,Année,Postes
BAP A,"Sciences du vivant, de la terre et de l'environnement",2007,16
BAP A,"Sciences du vivant, de la terre et de l'environnement",2008,20
BAP A,"Sciences du vivant, de la terre et de l'environnement",2009,18
BAP A,"Sciences du vivant, de la terre et de l'environnement",2010,13
BAP A,"Sciences du vivant, de la terre et de l'environnement",2011,7
BAP A,"Sciences du vivant, de la terre et de l'environnement",2012,8
BAP A,"Sciences du vivant, de la terre et de l'environnement",2013,7
BAP A,"Sciences du vivant, de la terre et de l'environnement",2014,10
BAP A,"Sciences du vivant, de la terre et de l'environnement",2015,8
BAP A,"Sciences du vivant, de la terre et de l'environnement",2016,6
BAP A,"Sciences du vivant, de la terre et de l'environnement",2017,9
BAP A,"Sciences du vivant, de la terre et de l'environnement",2018,12
BAP A,"Sciences du vivant, de la terre et de l'environnement",2019,6
BAP B,"Sciences chimiques et science des matériaux",2007,9
BAP B,"Sciences chimiques et science des matériaux",2008,9
BAP B,"Sciences chimiques et science des matériaux",2009,11
BAP B,"Sciences chimiques et science des matériaux",2010,11
BAP B,"Sciences chimiques et science des matériaux",2011,15
BAP B,"Sciences chimiques et science des matériaux",2012,6
BAP B,"Sciences chimiques et science des matériaux",2013,8
BAP B,"Sciences chimiques et science des matériaux",2014,8
BAP B,"Sciences chimiques et science des matériaux",2015,6
BAP B,"Sciences chimiques et science des matériaux",2016,9
BAP B,"Sciences chimiques et science des matériaux",2017,1
BAP B,"Sciences chimiques et science des matériaux",2018,8
BAP B,"Sciences chimiques et science des matériaux",2019,4
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2007,25
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2008,30
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2009,23
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2010,29
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2011,20
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2012,12
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2013,5
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2014,12
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2015,15
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2016,13
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2017,13
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2018,16
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2019,12
BAP D,"Sciences humaines et sociales",2007,0
BAP D,"Sciences humaines et sociales",2008,1
BAP D,"Sciences humaines et sociales",2009,2
BAP D,"Sciences humaines et sociales",2010,0
BAP D,"Sciences humaines et sociales",2011,2
BAP D,"Sciences humaines et sociales",2012,0
BAP D,"Sciences humaines et sociales",2013,0
BAP D,"Sciences humaines et sociales",2014,0
BAP D,"Sciences humaines et sociales",2015,1
BAP D,"Sciences humaines et sociales",2016,0
BAP D,"Sciences humaines et sociales",2017,1
BAP D,"Sciences humaines et sociales",2018,1
BAP D,"Sciences humaines et sociales",2019,0
BAP E,"Informatique, statistiques et calcul scientifique",2007,18
BAP E,"Informatique, statistiques et calcul scientifique",2008,14
BAP E,"Informatique, statistiques et calcul scientifique",2009,12
BAP E,"Informatique, statistiques et calcul scientifique",2010,13
BAP E,"Informatique, statistiques et calcul scientifique",2011,7
BAP E,"Informatique, statistiques et calcul scientifique",2012,4
BAP E,"Informatique, statistiques et calcul scientifique",2013,6
BAP E,"Informatique, statistiques et calcul scientifique",2014,3
BAP E,"Informatique, statistiques et calcul scientifique",2015,9
BAP E,"Informatique, statistiques et calcul scientifique",2016,7
BAP E,"Informatique, statistiques et calcul scientifique",2017,9
BAP E,"Informatique, statistiques et calcul scientifique",2018,3
BAP E,"Informatique, statistiques et calcul scientifique",2019,7
BAP F,"Culture, communication, production et diffusion des savoirs)",2007,6
BAP F,"Culture, communication, production et diffusion des savoirs)",2008,6
BAP F,"Culture, communication, production et diffusion des savoirs)",2009,4
BAP F,"Culture, communication, production et diffusion des savoirs)",2010,8
BAP F,"Culture, communication, production et diffusion des savoirs)",2011,6
BAP F,"Culture, communication, production et diffusion des savoirs)",2012,6
BAP F,"Culture, communication, production et diffusion des savoirs)",2013,4
BAP F,"Culture, communication, production et diffusion des savoirs)",2014,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2015,6
BAP F,"Culture, communication, production et diffusion des savoirs)",2016,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2017,3
BAP F,"Culture, communication, production et diffusion des savoirs)",2018,4
BAP F,"Culture, communication, production et diffusion des savoirs)",2019,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2007,7
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2008,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2009,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2010,4
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2011,6
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2012,6
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2013,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2014,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2015,3
