Section,Section_label,Année,Postes
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2006,5
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2007,2
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2008,1
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2009,1
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2010,3
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2011,3
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2012,2
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2013,2
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2014,0
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2015,2
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2016,2
1,"Interactions, particules, noyaux, du laboratoire au cosmos",2017,1
2,"Théories physiques : méthodes, modèles et applications",2006,1
2,"Théories physiques : méthodes, modèles et applications",2007,2
2,"Théories physiques : méthodes, modèles et applications",2008,2
2,"Théories physiques : méthodes, modèles et applications",2009,2
2,"Théories physiques : méthodes, modèles et applications",2010,3
2,"Théories physiques : méthodes, modèles et applications",2011,2
2,"Théories physiques : méthodes, modèles et applications",2012,2
2,"Théories physiques : méthodes, modèles et applications",2013,2
2,"Théories physiques : méthodes, modèles et applications",2014,1
2,"Théories physiques : méthodes, modèles et applications",2015,1
2,"Théories physiques : méthodes, modèles et applications",2016,1
2,"Théories physiques : méthodes, modèles et applications",2017,1
3,"Matière condensée : structures et propriétés électroniques",2006,1
3,"Matière condensée : structures et propriétés électroniques",2007,1
3,"Matière condensée : structures et propriétés électroniques",2008,2
3,"Matière condensée : structures et propriétés électroniques",2009,2
3,"Matière condensée : structures et propriétés électroniques",2010,1
3,"Matière condensée : structures et propriétés électroniques",2011,2
3,"Matière condensée : structures et propriétés électroniques",2012,1
3,"Matière condensée : structures et propriétés électroniques",2013,2
3,"Matière condensée : structures et propriétés électroniques",2014,1
3,"Matière condensée : structures et propriétés électroniques",2015,1
3,"Matière condensée : structures et propriétés électroniques",2016,1
3,"Matière condensée : structures et propriétés électroniques",2017,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2006,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2007,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2008,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2009,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2010,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2011,2
4,"Atomes et molécules, optique et lasers, plasmas chauds",2012,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2013,2
4,"Atomes et molécules, optique et lasers, plasmas chauds",2014,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2015,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2016,1
4,"Atomes et molécules, optique et lasers, plasmas chauds",2017,1
5,"Matière condensée : organisation et dynamique",2006,1
5,"Matière condensée : organisation et dynamique",2007,2
5,"Matière condensée : organisation et dynamique",2008,2
5,"Matière condensée : organisation et dynamique",2009,1
5,"Matière condensée : organisation et dynamique",2010,1
5,"Matière condensée : organisation et dynamique",2011,1
