Section,Section_label,Année,Postes
BAP A,"Sciences du vivant, de la terre et de l'environnement",2007,19
BAP A,"Sciences du vivant, de la terre et de l'environnement",2008,25
BAP A,"Sciences du vivant, de la terre et de l'environnement",2009,24
BAP A,"Sciences du vivant, de la terre et de l'environnement",2010,27
BAP A,"Sciences du vivant, de la terre et de l'environnement",2011,20
BAP A,"Sciences du vivant, de la terre et de l'environnement",2012,13
BAP A,"Sciences du vivant, de la terre et de l'environnement",2013,3
BAP A,"Sciences du vivant, de la terre et de l'environnement",2014,12
BAP A,"Sciences du vivant, de la terre et de l'environnement",2015,8
BAP A,"Sciences du vivant, de la terre et de l'environnement",2016,13
BAP A,"Sciences du vivant, de la terre et de l'environnement",2017,8
BAP A,"Sciences du vivant, de la terre et de l'environnement",2018,12
BAP A,"Sciences du vivant, de la terre et de l'environnement",2019,8
BAP B,"Sciences chimiques et science des matériaux",2007,13
BAP B,"Sciences chimiques et science des matériaux",2008,19
BAP B,"Sciences chimiques et science des matériaux",2009,10
BAP B,"Sciences chimiques et science des matériaux",2010,23
BAP B,"Sciences chimiques et science des matériaux",2011,16
BAP B,"Sciences chimiques et science des matériaux",2012,4
BAP B,"Sciences chimiques et science des matériaux",2013,9
BAP B,"Sciences chimiques et science des matériaux",2014,6
BAP B,"Sciences chimiques et science des matériaux",2015,5
BAP B,"Sciences chimiques et science des matériaux",2016,8
BAP B,"Sciences chimiques et science des matériaux",2017,13
BAP B,"Sciences chimiques et science des matériaux",2018,14
BAP B,"Sciences chimiques et science des matériaux",2019,10
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2007,32
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2008,25
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2009,22
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2010,23
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2011,29
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2012,11
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2013,9
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2014,10
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2015,18
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2016,17
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2017,13
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2018,9
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2019,12
BAP D,"Sciences humaines et sociales",2007,11
BAP D,"Sciences humaines et sociales",2008,6
BAP D,"Sciences humaines et sociales",2009,8
BAP D,"Sciences humaines et sociales",2010,10
BAP D,"Sciences humaines et sociales",2011,4
BAP D,"Sciences humaines et sociales",2012,4
BAP D,"Sciences humaines et sociales",2013,3
BAP D,"Sciences humaines et sociales",2014,2
BAP D,"Sciences humaines et sociales",2015,16
BAP D,"Sciences humaines et sociales",2016,2
BAP D,"Sciences humaines et sociales",2017,6
BAP D,"Sciences humaines et sociales",2018,4
BAP D,"Sciences humaines et sociales",2019,2
BAP E,"Informatique, statistiques et calcul scientifique",2007,35
BAP E,"Informatique, statistiques et calcul scientifique",2008,31
BAP E,"Informatique, statistiques et calcul scientifique",2009,25
BAP E,"Informatique, statistiques et calcul scientifique",2010,28
BAP E,"Informatique, statistiques et calcul scientifique",2011,22
BAP E,"Informatique, statistiques et calcul scientifique",2012,23
BAP E,"Informatique, statistiques et calcul scientifique",2013,8
BAP E,"Informatique, statistiques et calcul scientifique",2014,13
BAP E,"Informatique, statistiques et calcul scientifique",2015,23
BAP E,"Informatique, statistiques et calcul scientifique",2016,19
BAP E,"Informatique, statistiques et calcul scientifique",2017,20
BAP E,"Informatique, statistiques et calcul scientifique",2018,15
BAP E,"Informatique, statistiques et calcul scientifique",2019,24
BAP F,"Culture, communication, production et diffusion des savoirs)",2007,13
BAP F,"Culture, communication, production et diffusion des savoirs)",2008,16
BAP F,"Culture, communication, production et diffusion des savoirs)",2009,9
BAP F,"Culture, communication, production et diffusion des savoirs)",2010,14
BAP F,"Culture, communication, production et diffusion des savoirs)",2011,13
BAP F,"Culture, communication, production et diffusion des savoirs)",2012,9
BAP F,"Culture, communication, production et diffusion des savoirs)",2013,5
BAP F,"Culture, communication, production et diffusion des savoirs)",2014,10
BAP F,"Culture, communication, production et diffusion des savoirs)",2015,9
BAP F,"Culture, communication, production et diffusion des savoirs)",2016,11
BAP F,"Culture, communication, production et diffusion des savoirs)",2017,14
BAP F,"Culture, communication, production et diffusion des savoirs)",2018,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2019,13
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2007,8
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2008,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2009,5
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2010,5
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2011,4
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2012,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2013,1
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2014,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2015,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2016,2
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2017,4
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2018,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2019,5
BAP H,"Gestion de la recherche",2007,44
BAP H,"Gestion de la recherche",2008,34
BAP H,"Gestion de la recherche",2009,0
BAP H,"Gestion de la recherche",2010,0
BAP H,"Gestion de la recherche",2011,0
BAP H,"Gestion de la recherche",2012,0
BAP H,"Gestion de la recherche",2013,0
BAP H,"Gestion de la recherche",2014,0
BAP H,"Gestion de la recherche",2015,0
BAP H,"Gestion de la recherche",2016,0
BAP H,"Gestion de la recherche",2017,0
BAP H,"Gestion de la recherche",2018,0
BAP H,"Gestion de la recherche",2019,0
BAP I,"",2007,0
BAP I,"",2008,0
BAP I,"",2009,0
BAP I,"",2010,0
BAP I,"",2011,0
BAP I,"",2012,0
BAP I,"",2013,0
BAP I,"",2014,0
BAP I,"",2015,0
BAP I,"",2016,0
BAP I,"",2017,0
BAP I,"",2018,0
BAP I,"",2019,0
BAP J,"Gestion et pilotage",2007,0
BAP J,"Gestion et pilotage",2008,0
BAP J,"Gestion et pilotage",2009,32
BAP J,"Gestion et pilotage",2010,27
BAP J,"Gestion et pilotage",2011,25
BAP J,"Gestion et pilotage",2012,29
BAP J,"Gestion et pilotage",2013,21
BAP J,"Gestion et pilotage",2014,22
BAP J,"Gestion et pilotage",2015,32
BAP J,"Gestion et pilotage",2016,28
BAP J,"Gestion et pilotage",2017,29
BAP J,"Gestion et pilotage",2018,38
BAP J,"Gestion et pilotage",2019,41
