Section,Section_label,Année,Postes
BAP A,"Sciences du vivant, de la terre et de l'environnement",2007,18
BAP A,"Sciences du vivant, de la terre et de l'environnement",2008,17
BAP A,"Sciences du vivant, de la terre et de l'environnement",2009,9
BAP A,"Sciences du vivant, de la terre et de l'environnement",2010,14
BAP A,"Sciences du vivant, de la terre et de l'environnement",2011,14
BAP A,"Sciences du vivant, de la terre et de l'environnement",2012,7
BAP A,"Sciences du vivant, de la terre et de l'environnement",2013,2
BAP A,"Sciences du vivant, de la terre et de l'environnement",2014,3
BAP A,"Sciences du vivant, de la terre et de l'environnement",2015,6
BAP A,"Sciences du vivant, de la terre et de l'environnement",2016,8
BAP A,"Sciences du vivant, de la terre et de l'environnement",2017,6
BAP A,"Sciences du vivant, de la terre et de l'environnement",2018,4
BAP A,"Sciences du vivant, de la terre et de l'environnement",2019,5
BAP B,"Sciences chimiques et science des matériaux",2007,10
BAP B,"Sciences chimiques et science des matériaux",2008,7
BAP B,"Sciences chimiques et science des matériaux",2009,7
BAP B,"Sciences chimiques et science des matériaux",2010,4
BAP B,"Sciences chimiques et science des matériaux",2011,3
BAP B,"Sciences chimiques et science des matériaux",2012,3
BAP B,"Sciences chimiques et science des matériaux",2013,6
BAP B,"Sciences chimiques et science des matériaux",2014,4
BAP B,"Sciences chimiques et science des matériaux",2015,5
BAP B,"Sciences chimiques et science des matériaux",2016,3
BAP B,"Sciences chimiques et science des matériaux",2017,3
BAP B,"Sciences chimiques et science des matériaux",2018,4
BAP B,"Sciences chimiques et science des matériaux",2019,4
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2007,19
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2008,20
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2009,14
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2010,22
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2011,13
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2012,10
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2013,1
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2014,4
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2015,5
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2016,10
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2017,2
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2018,6
BAP C,"Sciences de l'ingénieur et instrumentation scientifique",2019,3
BAP D,"Sciences humaines et sociales",2007,0
BAP D,"Sciences humaines et sociales",2008,1
BAP D,"Sciences humaines et sociales",2009,0
BAP D,"Sciences humaines et sociales",2010,0
BAP D,"Sciences humaines et sociales",2011,1
BAP D,"Sciences humaines et sociales",2012,0
BAP D,"Sciences humaines et sociales",2013,0
BAP D,"Sciences humaines et sociales",2014,0
BAP D,"Sciences humaines et sociales",2015,0
BAP D,"Sciences humaines et sociales",2016,0
BAP D,"Sciences humaines et sociales",2017,0
BAP D,"Sciences humaines et sociales",2018,0
BAP D,"Sciences humaines et sociales",2019,0
BAP E,"Informatique, statistiques et calcul scientifique",2007,4
BAP E,"Informatique, statistiques et calcul scientifique",2008,2
BAP E,"Informatique, statistiques et calcul scientifique",2009,2
BAP E,"Informatique, statistiques et calcul scientifique",2010,1
BAP E,"Informatique, statistiques et calcul scientifique",2011,0
BAP E,"Informatique, statistiques et calcul scientifique",2012,1
BAP E,"Informatique, statistiques et calcul scientifique",2013,1
BAP E,"Informatique, statistiques et calcul scientifique",2014,0
BAP E,"Informatique, statistiques et calcul scientifique",2015,0
BAP E,"Informatique, statistiques et calcul scientifique",2016,2
BAP E,"Informatique, statistiques et calcul scientifique",2017,2
BAP E,"Informatique, statistiques et calcul scientifique",2018,2
BAP E,"Informatique, statistiques et calcul scientifique",2019,0
BAP F,"Culture, communication, production et diffusion des savoirs)",2007,5
BAP F,"Culture, communication, production et diffusion des savoirs)",2008,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2009,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2010,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2011,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2012,1
BAP F,"Culture, communication, production et diffusion des savoirs)",2013,1
BAP F,"Culture, communication, production et diffusion des savoirs)",2014,0
BAP F,"Culture, communication, production et diffusion des savoirs)",2015,3
BAP F,"Culture, communication, production et diffusion des savoirs)",2016,1
BAP F,"Culture, communication, production et diffusion des savoirs)",2017,0
BAP F,"Culture, communication, production et diffusion des savoirs)",2018,2
BAP F,"Culture, communication, production et diffusion des savoirs)",2019,1
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2007,8
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2008,4
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2009,7
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2010,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2011,6
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2012,6
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2013,0
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2014,0
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2015,0
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2016,5
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2017,5
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2018,3
BAP G,"Patrimoine immobilier, logistique, restauration et prévention",2019,5
BAP H,"Gestion de la recherche",2007,64
BAP H,"Gestion de la recherche",2008,68
BAP H,"Gestion de la recherche",2009,0
BAP H,"Gestion de la recherche",2010,0
BAP H,"Gestion de la recherche",2011,0
BAP H,"Gestion de la recherche",2012,0
BAP H,"Gestion de la recherche",2013,0
BAP H,"Gestion de la recherche",2014,0
BAP H,"Gestion de la recherche",2015,0
